,route0,route1,route2,route3,route4,route5,route6
0,2855+FAYE+ROAD+JACKSONVILLE+FL,2855+FAYE+ROAD+JACKSONVILLE+FL,2855+FAYE+ROAD+JACKSONVILLE+FL,2855+FAYE+ROAD+JACKSONVILLE+FL,2855+FAYE+ROAD+JACKSONVILLE+FL,2855+FAYE+ROAD+JACKSONVILLE+FL,2855+FAYE+ROAD+JACKSONVILLE+FL
1,2855+FAYE+ROAD+JACKSONVILLE+FL,"855 LANE AVE SOUTH, JACKSONVILLE, FL, 32205","463785 STATE ROAD 200, YULEE, FL, 32097","230 DURBIN PAVILION DR, SAINT JOHNS, FL, 32259","417 N HWY 19, PALATKA, FL, 32177","215 SW HOME DEPOT DRIVE, LAKE CITY, FL, 32055","3790 THIRD STREET SOUTH, JACKSONVILLE BEACH, FL, 32250"
2,,"1919 WELLS RD, ORANGE PARK, FL, 32073",2855+FAYE+ROAD+JACKSONVILLE+FL,"2455 INTERNATIONAL SPEEDWY BLVD, DAYTONA BEACH, FL, 32114","1530 E HWY 50, CLERMONT, FL, 34711","5150 NW 13TH STREET, GAINESVILLE, FL, 32609","9021 SOUTHSIDE BLVD, JACKSONVILLE, FL, 32256"
3,,"9751 CROSSHILL BLVD, JACKSONVILLE, FL, 32222",,"4403 MILLENIA PLAZA WAY, ORLANDO, FL, 32839","2805 US HIGHWAY 98 N, LAKELAND, FL, 33805","3300 SW 35TH TERRACE, OCALA, FL, 34474","2359 STATE ROAD 44, NEW SMYRNA BEACH, FL, 32168"
4,,"1575 BRANAN FIELD ROAD, MIDDLEBURG, FL, 32068",,"2000 8TH STREET NW, WINTER HAVEN, FL, 33881","6335 S FLORIDA AVE, LAKELAND, FL, 33813","70 NORTH SUNCOAST BLVD, CRYSTAL RIVER, FL, 34429","1670 W ORANGE BLOSSOM TR, APOPKA, FL, 32712"
5,,"1575 COUNTY ROAD 220, ORANGE PARK, FL, 32003",,"2303 US HWY 27 N, SEBRING, FL, 33870","3402 FORUM BLVD, FORT MYERS, FL, 33905","8445 LITTLE ROAD, NEW PORT RICHEY, FL, 34654","5351 DIPLOMAT CIRCLE, ORLANDO, FL, 32810"
6,,"871 NORTH HWY 27, LADY LAKE, FL, 32159",,"19690 COCHRAN BLVD, PORT CHARLOTTE, FL, 33948","14655 S TAMIAMI TRAIL, FORT MYERS, FL, 33912","1315 US HWY 19 NORTH, HOLIDAY, FL, 34691","350 N ALAFAYA TRAIL, ORLANDO, FL, 32828"
7,,"10825 US HWY 441, LEESBURG, FL, 34788",,"2508 SKYLINE BLVD, CAPE CORAL, FL, 33914","2251 PINE RIDGE RD, NAPLES, FL, 34109","30144 US HWY 19 N, CLEARWATER, FL, 33761","6130 E COLONIAL DR, ORLANDO, FL, 32807"
8,,"32715 EILAND BLVD, ZEPHYRHILLS, FL, 33545",,2855+FAYE+ROAD+JACKSONVILLE+FL,"1651 S AIRPORT PULLING, NAPLES, FL, 34112","2495 GULF TO BAY BLVD, CLEARWATER, FL, 33765","7007 NARCOOSSEE ROAD, ORLANDO, FL, 32822"
9,,"17601 BRUCE B DOWNS BLVD, TAMPA, FL, 33647",,,2855+FAYE+ROAD+JACKSONVILLE+FL,"10689 ULMERTON ROAD, LARGO, FL, 33771","7423 SOUTHLAND BLVD, ORLANDO, FL, 32809"
10,,"10151 BLOOMINGDALE AVE, RIVERVIEW, FL, 33578",,,,"10550 PARK BLVD, SEMINOLE, FL, 33772","13121 S ORANGE BLOSSOM, ORLANDO, FL, 32837"
11,,"3730 SUN CITY CTR BLVD, RUSKIN, FL, 33573",,,,"2070 TYRONE BLVD N, SAINT PETERSBURG, FL, 33710","4560 13TH STREET, SAINT CLOUD, FL, 34769"
12,,"2350 CORTEZ ROAD WEST, BRADENTON, FL, 34207",,,,"2300 22ND AVE NORTH, SAINT PETERSBURG, FL, 33713","2700 HWY 441 SOUTH, OKEECHOBEE, FL, 34974"
13,,"5820 STATE ROUTE 64 E, BRADENTON, FL, 34208",,,,"4040 PARK BLVD, PINELLAS PARK, FL, 33781",2855+FAYE+ROAD+JACKSONVILLE+FL
14,,"5475 UNIVERSITY PARKWAY, UNIVERSITY PARK, FL, 34201",,,,"5125 S DALE MABRY HWY, TAMPA, FL, 33611",
15,,"4111 CATTLEMAN RD, SARASOTA, FL, 34233",,,,"6730 MEMORIAL HWY, TAMPA, FL, 33615",
16,,"2450 JACARANDA BLVD, VENICE, FL, 34293",,,,"1712 N DALE MABRY HWY, TAMPA, FL, 33607",
17,,2855+FAYE+ROAD+JACKSONVILLE+FL,,,,"16121 N DALE MABRY HWY, TAMPA, FL, 33618",
18,,,,,,"8815 N FLORIDA AVE, TAMPA, FL, 33604",
19,,,,,,"9941 E ADAMO DR, TAMPA, FL, 33619",
20,,,,,,"1524 E BRANDON BLVD, BRANDON, FL, 33511",
21,,,,,,2855+FAYE+ROAD+JACKSONVILLE+FL,
