0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80
0,234115,175514,710593,668305,757184,640060,592497,694108,774875,683501,700300,704752,680586,320112,362615,169546,308808,186342,176227,168569,279135,151167,173224,189267,25319,309909,13205,208949,155611,295986,327044,318201,301197,379387,39665,237775,303631,326800,324954,446085,348146,319004,306894,432515,469159,412383,457676,392195,307494,470924,439300,370820,336637,313629,447402,379697,447270,402158,304952,447271,719087,426038,402748,393419,485288,432484,620073,698819,689938,696734,590321,579562,610153,694890,542430,667402,334926,503346,184527,262887
245156,0,229007,478806,436518,525396,408273,360710,462321,543088,451714,468513,472965,448799,185645,145203,103100,196328,145225,130522,120378,232339,219228,356949,44533,262923,181927,232900,379074,367828,164117,198933,173735,188717,203311,277269,6653,256835,280004,278157,423896,301350,272208,456703,486468,487969,299903,437633,345399,457303,489348,493253,258340,289841,266833,400606,332901,501223,289678,258156,501224,773040,406693,456701,522220,473370,486437,573277,752773,743891,750687,548101,532766,590807,748844,603889,435614,184821,484001,238812,216090
174963,228731,0,655466,554078,702056,584933,537370,638980,719748,628374,645172,649624,625459,420017,373452,269452,408713,286247,276132,268474,379040,49830,366903,208883,168626,409814,169972,390440,319614,395891,426949,418106,401102,419403,203668,234902,403536,426705,424859,545501,448051,418909,502166,531931,568575,512288,557092,492100,502766,570339,538716,470725,436542,413534,547307,479603,546685,502063,404857,546687,818503,525454,502163,567683,584704,531899,719978,798235,789354,796150,689736,679467,709568,794306,641846,515340,434831,602762,283943,362792
720834,479422,655282,0,63243,95267,73546,119891,22013,93435,46610,12033,42571,44074,493964,448196,578777,545808,620902,606199,596055,635275,694161,832627,520210,738601,494141,708577,854752,843505,503162,512157,486203,526219,439906,752947,480165,655483,664763,655137,800876,678330,654485,932381,912849,864948,576698,814613,668422,932981,866328,903406,552815,663248,665482,777585,706309,882709,561852,646959,903593,1248718,783673,902780,997898,850350,923843,847259,1179508,1170627,1177423,859439,806749,925463,1175579,980869,101767,476507,860981,714490,691768
678462,437050,554548,63340,0,138004,61952,77868,55503,145533,83788,70957,85572,81252,451592,405825,536405,503436,578530,563828,553684,592904,593427,790255,477838,696229,451769,666206,812380,801133,460790,469785,443831,483847,397535,710575,437793,613112,622391,612766,758504,635958,612113,890009,870477,822577,534326,772241,626050,890609,823956,861034,510443,620876,623110,735214,663937,840337,519481,604587,861221,1206346,741301,860408,955526,807978,881471,839246,1137137,1128255,1135051,851426,798735,925415,1133208,938497,38968,434135,818609,672118,649396
767108,525696,701557,94725,146946,0,119820,166165,92676,96345,76859,84261,74396,85938,540238,494471,625051,592082,667176,652474,642330,681550,740436,878901,566484,784875,540415,754852,901026,889780,549436,558431,532477,572493,486181,799221,526439,701758,711037,701412,847150,724604,700759,978655,959123,911223,622972,860887,714696,979255,912602,949680,599089,709522,711756,823860,752583,928983,608127,693233,949867,1294992,829947,949054,1044172,896624,970117,887493,1225783,1216901,1223697,899673,846983,965697,1221854,1027143,185470,522781,907255,760764,738042
650663,409251,585112,73222,61340,119812,0,49720,56736,137504,46129,62928,67380,43214,423793,378026,508606,475637,550731,536029,525885,565105,623991,762456,450039,668430,423970,638407,784581,773335,432991,441986,416032,456048,369736,682776,409994,585313,594592,584967,730705,608159,584314,862210,842678,794778,506527,744442,598251,862810,796157,833235,482644,593077,595311,707415,636138,812538,491682,576788,833422,1178547,713502,832609,927727,780179,853672,788830,1109338,1100456,1107252,801010,748320,867034,1105409,910698,104788,406337,790810,644319,621597
602367,360956,536816,119962,77721,166553,49430,0,103477,184245,92870,109669,114121,89955,375498,329730,460311,427342,502436,487733,477589,516809,575695,714161,401744,620135,375675,590111,736286,725039,384696,393691,367737,407753,321440,634481,361699,537017,546297,536671,682410,559864,536019,813915,794382,746482,458232,696147,549956,814515,747862,784940,434349,544782,547015,659119,587843,764243,443386,528493,785127,1130252,665207,784314,879432,731884,805377,786564,1061042,1052161,1058957,798744,746054,849321,1057113,862403,96670,358041,742515,596024,573302
702756,461344,637205,25995,55556,82748,55468,101813,0,90277,28533,15701,30316,25996,475886,430119,560699,527730,602824,588122,577978,617198,676084,814549,502132,720523,476063,690500,836674,825428,485084,494079,468126,508141,421829,734869,462087,637406,646685,637060,782798,660252,636407,914303,894771,846871,558620,796535,650344,914903,848250,885328,534737,645170,647404,759508,688231,864632,543775,628881,885515,1230640,765595,884702,979820,832272,905765,829181,1161431,1152549,1159345,841361,788671,907385,1157502,962791,94080,458430,842903,696412,673690
785278,543867,719727,92967,145494,96399,137991,184336,91224,0,97779,78185,74563,108519,558409,512641,643222,610253,685347,670644,660500,699720,758606,897072,584655,803046,558585,773022,919197,907950,567606,576602,550648,590664,504351,817392,544610,719928,729208,719582,865320,742775,718929,996826,977293,929393,641143,879058,732867,997425,930773,967850,617260,727693,729926,842030,770754,947154,626297,711403,968038,1313163,848118,967224,1062343,914795,988287,911704,1243953,1235071,1241868,923884,871193,989907,1240024,1045313,184018,540952,925426,778935,756213
693045,451634,627494,45413,83198,77618,45758,92103,28928,97755,0,35119,25186,16137,466176,420408,550989,518020,593114,578411,568267,607487,666373,804839,492422,710813,466353,680789,826964,815717,475373,484369,458415,498431,412118,725159,452377,627695,636975,627349,773088,650542,626696,904593,885060,837160,548910,786825,640634,905193,838540,875618,525027,635460,637693,749797,678521,854921,534064,619171,875805,1220930,755885,874992,970110,822562,896055,820049,1151720,1142839,1149635,832229,779538,898252,1147791,953081,121722,448719,833193,686702,663980
710180,468768,644629,17869,70396,84486,62892,109238,16126,78412,35957,0,31790,33421,483310,437543,568124,535155,610249,595546,585402,624622,683508,821973,509557,727948,483487,697924,844098,832852,492508,501504,475550,515566,429253,742294,469511,644830,654110,644484,790222,667677,643831,921727,902195,854295,566045,803960,657769,922327,855674,892752,542162,652595,654828,766932,695655,872056,551199,636305,892940,1238065,773020,892126,987244,839696,913189,836606,1168855,1159973,1166770,848786,796095,914809,1164926,970215,108920,465854,850328,703837,681115
714748,473336,649196,42012,94234,74521,67460,113805,39964,74261,24499,31548,0,33578,487878,442110,572691,539722,614816,600114,589970,629190,688075,826541,514124,732515,488055,702492,848666,837419,497076,506071,480117,520133,433821,746861,474079,649398,658677,649052,794790,672244,648399,926295,906763,858863,570612,808527,662336,926895,860242,897320,546729,657162,659396,771500,700223,876623,555766,640873,897507,1242632,777587,896694,991812,844264,917757,835133,1173423,1164541,1171337,847313,794623,913337,1169494,974783,132758,470421,854895,708404,685682
691393,449982,625842,44007,81792,85791,44106,90451,27522,108289,16689,33714,33359,0,464524,418756,549337,516368,591462,576759,566615,605835,664721,803187,490770,709161,464701,679137,825312,814065,473722,482717,456763,496779,410466,723507,450725,626043,635323,625697,771436,648890,625045,902941,883408,835508,584658,785173,638982,903541,836888,873966,523375,633808,636041,748145,676869,853269,569813,617519,874153,1219278,754233,873340,968458,820910,894403,806130,1150068,1141187,1147983,818311,765620,884334,1146139,951429,120316,447067,831541,685050,662328
320235,183960,419713,493376,451088,539967,422844,375281,476891,557659,466284,483083,487535,463369,0,53367,159954,63720,191273,176571,153255,153188,395366,402998,189084,338003,11818,307979,425123,413877,27528,13006,12171,44131,66584,352349,174581,173396,182675,173049,318788,196242,172397,502752,430761,382860,104167,332525,186334,503352,384240,421318,62604,181160,183394,295497,224221,400621,93942,164871,421505,760420,301585,420692,568269,368262,441755,464596,697420,688539,695335,442993,424086,485699,693491,498781,458008,22617,378893,284861,187418
355359,145861,374153,448790,406502,495381,378258,330695,432305,513073,421698,438497,442949,418783,53454,0,195078,105299,226398,211695,188379,194766,430490,438122,161655,373127,53631,343103,460247,449001,62652,71647,45694,85709,39468,387473,139773,214974,224253,214628,360366,237820,213975,537876,472339,424439,153869,374104,227912,538476,425818,462896,112306,222738,224972,337076,265799,442200,143643,206449,463083,801998,343164,462270,603393,409840,483333,506174,738999,730117,736913,484571,465664,527278,735070,540359,413422,39418,420471,319985,222542
169329,102230,268807,578708,536420,625298,508175,460612,562223,642990,551616,568414,572866,548701,160286,202790,0,148982,45194,30491,16933,132308,244460,256918,75106,187097,150083,157073,279043,267797,136160,167218,158375,141371,219561,201443,105890,156804,179973,178126,323865,201319,172177,356672,386437,387938,252557,337602,245368,357272,389317,393222,210994,189810,166802,300575,232870,401192,242332,158125,401193,673009,306662,356670,422189,373339,386406,473246,652742,643860,650656,448070,432735,490776,648813,503858,535516,175101,383970,138781,116059
308785,194312,408263,540479,498191,587069,469946,422383,523994,604761,513387,530185,534638,510472,58175,100470,148504,0,179824,165121,141805,100731,383916,391548,181839,326553,48635,296529,413673,402427,63123,40845,56055,12294,123145,340899,194977,120939,130218,120593,266331,143785,119940,448413,378304,330404,119297,280068,133877,449013,331783,368861,77734,128703,130937,243041,171764,348164,109072,112414,369048,707963,249128,368235,513930,315805,389298,412139,644964,636082,642878,390536,371629,433242,641035,446324,505110,78685,326436,273411,123893
187255,144227,286732,620704,578416,667295,550172,502609,604219,684987,593612,610411,614863,590697,190161,232664,44572,178856,0,9359,38617,106981,262385,222525,117102,205022,179957,174999,244650,233404,166034,197092,188249,171245,249435,219368,147886,131476,154646,152799,298537,175992,146850,322279,352044,362610,282431,312275,220041,322879,363989,358829,240868,164482,141474,275247,207543,366799,272206,132798,366800,638616,281335,322277,387796,348011,352013,447918,618349,609467,616263,422743,407408,465449,614420,478530,577513,204975,358643,104388,90732
